group,function,value,sample_time_nanos,iteration_count
Day1 - Part1,loops,,878033.0,188
Day1 - Part1,loops,,2094024.0,376
Day1 - Part1,loops,,5967635.0,564
Day1 - Part1,loops,,3999256.0,752
Day1 - Part1,loops,,5220315.0,940
Day1 - Part1,loops,,5702376.0,1128
Day1 - Part1,loops,,6595234.0,1316
Day1 - Part1,loops,,7700519.0,1504
Day1 - Part1,loops,,8644782.0,1692
Day1 - Part1,loops,,9886836.0,1880
Day1 - Part1,loops,,11143512.0,2068
Day1 - Part1,loops,,11352033.0,2256
Day1 - Part1,loops,,12279037.0,2444
Day1 - Part1,loops,,14657757.0,2632
Day1 - Part1,loops,,15533195.0,2820
Day1 - Part1,loops,,16087220.0,3008
Day1 - Part1,loops,,16772576.0,3196
Day1 - Part1,loops,,17280089.0,3384
Day1 - Part1,loops,,18216458.0,3572
Day1 - Part1,loops,,19290326.0,3760
Day1 - Part1,loops,,20665748.0,3948
Day1 - Part1,loops,,21877210.0,4136
Day1 - Part1,loops,,23057930.0,4324
Day1 - Part1,loops,,22731350.0,4512
Day1 - Part1,loops,,24429731.0,4700
Day1 - Part1,loops,,24691136.0,4888
Day1 - Part1,loops,,26373181.0,5076
Day1 - Part1,loops,,27359327.0,5264
Day1 - Part1,loops,,28113589.0,5452
Day1 - Part1,loops,,28719940.0,5640
Day1 - Part1,loops,,29865915.0,5828
Day1 - Part1,loops,,31769905.0,6016
Day1 - Part1,loops,,32003605.0,6204
Day1 - Part1,loops,,32716233.0,6392
Day1 - Part1,loops,,36151767.0,6580
Day1 - Part1,loops,,38336405.0,6768
Day1 - Part1,loops,,39228801.0,6956
Day1 - Part1,loops,,40309882.0,7144
Day1 - Part1,loops,,40910334.0,7332
Day1 - Part1,loops,,39963600.0,7520
Day1 - Part1,loops,,40285616.0,7708
Day1 - Part1,loops,,41311639.0,7896
Day1 - Part1,loops,,42434167.0,8084
Day1 - Part1,loops,,43477797.0,8272
Day1 - Part1,loops,,42893971.0,8460
Day1 - Part1,loops,,43865852.0,8648
Day1 - Part1,loops,,46975349.0,8836
Day1 - Part1,loops,,46464043.0,9024
Day1 - Part1,loops,,47513280.0,9212
Day1 - Part1,loops,,50790362.0,9400
Day1 - Part1,loops,,48739399.0,9588
Day1 - Part1,loops,,50335409.0,9776
Day1 - Part1,loops,,50582386.0,9964
Day1 - Part1,loops,,52484116.0,10152
Day1 - Part1,loops,,52993485.0,10340
Day1 - Part1,loops,,54263038.0,10528
Day1 - Part1,loops,,55866000.0,10716
Day1 - Part1,loops,,62975159.0,10904
Day1 - Part1,loops,,57935631.0,11092
Day1 - Part1,loops,,61306793.0,11280
Day1 - Part1,loops,,60418330.0,11468
Day1 - Part1,loops,,67581461.0,11656
Day1 - Part1,loops,,62509750.0,11844
Day1 - Part1,loops,,65769928.0,12032
Day1 - Part1,loops,,63225497.0,12220
Day1 - Part1,loops,,63606782.0,12408
Day1 - Part1,loops,,67906260.0,12596
Day1 - Part1,loops,,66674373.0,12784
Day1 - Part1,loops,,67811653.0,12972
Day1 - Part1,loops,,70182079.0,13160
Day1 - Part1,loops,,74871512.0,13348
Day1 - Part1,loops,,73809214.0,13536
Day1 - Part1,loops,,73869989.0,13724
Day1 - Part1,loops,,74906676.0,13912
Day1 - Part1,loops,,73529409.0,14100
Day1 - Part1,loops,,75256653.0,14288
Day1 - Part1,loops,,74838701.0,14476
Day1 - Part1,loops,,75471502.0,14664
Day1 - Part1,loops,,77082120.0,14852
Day1 - Part1,loops,,76851143.0,15040
Day1 - Part1,loops,,82060177.0,15228
Day1 - Part1,loops,,80732245.0,15416
Day1 - Part1,loops,,79736643.0,15604
Day1 - Part1,loops,,81522406.0,15792
Day1 - Part1,loops,,84134189.0,15980
Day1 - Part1,loops,,87018031.0,16168
Day1 - Part1,loops,,86871418.0,16356
Day1 - Part1,loops,,87110982.0,16544
Day1 - Part1,loops,,88152424.0,16732
Day1 - Part1,loops,,88282757.0,16920
Day1 - Part1,loops,,88313941.0,17108
Day1 - Part1,loops,,91951129.0,17296
Day1 - Part1,loops,,91793783.0,17484
Day1 - Part1,loops,,94204879.0,17672
Day1 - Part1,loops,,91909485.0,17860
Day1 - Part1,loops,,96095498.0,18048
Day1 - Part1,loops,,95716292.0,18236
Day1 - Part1,loops,,99258243.0,18424
Day1 - Part1,loops,,102094371.0,18612
Day1 - Part1,loops,,99291309.0,18800
