group,function,value,sample_time_nanos,iteration_count
Day1 - Part1,seen,,1040633.0,97
Day1 - Part1,seen,,2150828.0,194
Day1 - Part1,seen,,6934212.0,291
Day1 - Part1,seen,,4125749.0,388
Day1 - Part1,seen,,4816079.0,485
Day1 - Part1,seen,,5614078.0,582
Day1 - Part1,seen,,6705610.0,679
Day1 - Part1,seen,,7493495.0,776
Day1 - Part1,seen,,8733705.0,873
Day1 - Part1,seen,,9822273.0,970
Day1 - Part1,seen,,10808056.0,1067
Day1 - Part1,seen,,11512577.0,1164
Day1 - Part1,seen,,13131662.0,1261
Day1 - Part1,seen,,13619776.0,1358
Day1 - Part1,seen,,14458304.0,1455
Day1 - Part1,seen,,16017838.0,1552
Day1 - Part1,seen,,16904217.0,1649
Day1 - Part1,seen,,17254484.0,1746
Day1 - Part1,seen,,18347960.0,1843
Day1 - Part1,seen,,19141853.0,1940
Day1 - Part1,seen,,20297597.0,2037
Day1 - Part1,seen,,21738138.0,2134
Day1 - Part1,seen,,22014319.0,2231
Day1 - Part1,seen,,22903606.0,2328
Day1 - Part1,seen,,23558047.0,2425
Day1 - Part1,seen,,24600747.0,2522
Day1 - Part1,seen,,25456513.0,2619
Day1 - Part1,seen,,27300615.0,2716
Day1 - Part1,seen,,27820463.0,2813
Day1 - Part1,seen,,29550116.0,2910
Day1 - Part1,seen,,30032129.0,3007
Day1 - Part1,seen,,31009978.0,3104
Day1 - Part1,seen,,32284996.0,3201
Day1 - Part1,seen,,34908207.0,3298
Day1 - Part1,seen,,34013111.0,3395
Day1 - Part1,seen,,34773645.0,3492
Day1 - Part1,seen,,36719841.0,3589
Day1 - Part1,seen,,36554795.0,3686
Day1 - Part1,seen,,37834502.0,3783
Day1 - Part1,seen,,39193782.0,3880
Day1 - Part1,seen,,45078725.0,3977
Day1 - Part1,seen,,40099324.0,4074
Day1 - Part1,seen,,41167194.0,4171
Day1 - Part1,seen,,41529715.0,4268
Day1 - Part1,seen,,44435186.0,4365
Day1 - Part1,seen,,46991903.0,4462
Day1 - Part1,seen,,45541204.0,4559
Day1 - Part1,seen,,48580270.0,4656
Day1 - Part1,seen,,47899126.0,4753
Day1 - Part1,seen,,47841147.0,4850
Day1 - Part1,seen,,48867070.0,4947
Day1 - Part1,seen,,50430450.0,5044
Day1 - Part1,seen,,51469969.0,5141
Day1 - Part1,seen,,51444275.0,5238
Day1 - Part1,seen,,53838959.0,5335
Day1 - Part1,seen,,56452350.0,5432
Day1 - Part1,seen,,56727678.0,5529
Day1 - Part1,seen,,55435173.0,5626
Day1 - Part1,seen,,55545903.0,5723
Day1 - Part1,seen,,57480866.0,5820
Day1 - Part1,seen,,65517209.0,5917
Day1 - Part1,seen,,58947862.0,6014
Day1 - Part1,seen,,60694832.0,6111
Day1 - Part1,seen,,63268530.0,6208
Day1 - Part1,seen,,64037489.0,6305
Day1 - Part1,seen,,66449367.0,6402
Day1 - Part1,seen,,65313362.0,6499
Day1 - Part1,seen,,66797778.0,6596
Day1 - Part1,seen,,67988950.0,6693
Day1 - Part1,seen,,69338768.0,6790
Day1 - Part1,seen,,69443327.0,6887
Day1 - Part1,seen,,72576848.0,6984
Day1 - Part1,seen,,70162028.0,7081
Day1 - Part1,seen,,70435853.0,7178
Day1 - Part1,seen,,71340042.0,7275
Day1 - Part1,seen,,74851504.0,7372
Day1 - Part1,seen,,76700027.0,7469
Day1 - Part1,seen,,77102940.0,7566
Day1 - Part1,seen,,98972326.0,7663
Day1 - Part1,seen,,79300737.0,7760
Day1 - Part1,seen,,76966153.0,7857
Day1 - Part1,seen,,82204469.0,7954
Day1 - Part1,seen,,85062394.0,8051
Day1 - Part1,seen,,88227644.0,8148
Day1 - Part1,seen,,86771881.0,8245
Day1 - Part1,seen,,83646822.0,8342
Day1 - Part1,seen,,86320155.0,8439
Day1 - Part1,seen,,90016633.0,8536
Day1 - Part1,seen,,90016051.0,8633
Day1 - Part1,seen,,88464179.0,8730
Day1 - Part1,seen,,95058166.0,8827
Day1 - Part1,seen,,101610329.0,8924
Day1 - Part1,seen,,90882372.0,9021
Day1 - Part1,seen,,89796478.0,9118
Day1 - Part1,seen,,91798216.0,9215
Day1 - Part1,seen,,94899144.0,9312
Day1 - Part1,seen,,94428009.0,9409
Day1 - Part1,seen,,94089268.0,9506
Day1 - Part1,seen,,95398733.0,9603
Day1 - Part1,seen,,96390313.0,9700
