group,function,value,sample_time_nanos,iteration_count
Day1 - Part1,tuple_combinations,,929387.0,180
Day1 - Part1,tuple_combinations,,1898921.0,360
Day1 - Part1,tuple_combinations,,3011840.0,540
Day1 - Part1,tuple_combinations,,4238801.0,720
Day1 - Part1,tuple_combinations,,5251104.0,900
Day1 - Part1,tuple_combinations,,6343261.0,1080
Day1 - Part1,tuple_combinations,,6932991.0,1260
Day1 - Part1,tuple_combinations,,7658479.0,1440
Day1 - Part1,tuple_combinations,,8639836.0,1620
Day1 - Part1,tuple_combinations,,9659225.0,1800
Day1 - Part1,tuple_combinations,,11210072.0,1980
Day1 - Part1,tuple_combinations,,11106489.0,2160
Day1 - Part1,tuple_combinations,,12514066.0,2340
Day1 - Part1,tuple_combinations,,16179733.0,2520
Day1 - Part1,tuple_combinations,,14727956.0,2700
Day1 - Part1,tuple_combinations,,15870656.0,2880
Day1 - Part1,tuple_combinations,,16228360.0,3060
Day1 - Part1,tuple_combinations,,17277036.0,3240
Day1 - Part1,tuple_combinations,,20276012.0,3420
Day1 - Part1,tuple_combinations,,19998482.0,3600
Day1 - Part1,tuple_combinations,,20225139.0,3780
Day1 - Part1,tuple_combinations,,20986115.0,3960
Day1 - Part1,tuple_combinations,,24140285.0,4140
Day1 - Part1,tuple_combinations,,23648326.0,4320
Day1 - Part1,tuple_combinations,,25180195.0,4500
Day1 - Part1,tuple_combinations,,25506298.0,4680
Day1 - Part1,tuple_combinations,,26962833.0,4860
Day1 - Part1,tuple_combinations,,27668079.0,5040
Day1 - Part1,tuple_combinations,,28079737.0,5220
Day1 - Part1,tuple_combinations,,28807128.0,5400
Day1 - Part1,tuple_combinations,,29951467.0,5580
Day1 - Part1,tuple_combinations,,30560478.0,5760
Day1 - Part1,tuple_combinations,,31771970.0,5940
Day1 - Part1,tuple_combinations,,32435575.0,6120
Day1 - Part1,tuple_combinations,,34037088.0,6300
Day1 - Part1,tuple_combinations,,39084819.0,6480
Day1 - Part1,tuple_combinations,,37764856.0,6660
Day1 - Part1,tuple_combinations,,36721836.0,6840
Day1 - Part1,tuple_combinations,,37889405.0,7020
Day1 - Part1,tuple_combinations,,38619059.0,7200
Day1 - Part1,tuple_combinations,,39723234.0,7380
Day1 - Part1,tuple_combinations,,40081562.0,7560
Day1 - Part1,tuple_combinations,,41894630.0,7740
Day1 - Part1,tuple_combinations,,46422746.0,7920
Day1 - Part1,tuple_combinations,,42795759.0,8100
Day1 - Part1,tuple_combinations,,44755154.0,8280
Day1 - Part1,tuple_combinations,,47976080.0,8460
Day1 - Part1,tuple_combinations,,46712167.0,8640
Day1 - Part1,tuple_combinations,,47710010.0,8820
Day1 - Part1,tuple_combinations,,48032911.0,9000
Day1 - Part1,tuple_combinations,,49704049.0,9180
Day1 - Part1,tuple_combinations,,50960566.0,9360
Day1 - Part1,tuple_combinations,,51611070.0,9540
Day1 - Part1,tuple_combinations,,53550940.0,9720
Day1 - Part1,tuple_combinations,,52380036.0,9900
Day1 - Part1,tuple_combinations,,53387305.0,10080
Day1 - Part1,tuple_combinations,,53849088.0,10260
Day1 - Part1,tuple_combinations,,57892899.0,10440
Day1 - Part1,tuple_combinations,,57575230.0,10620
Day1 - Part1,tuple_combinations,,58577618.0,10800
Day1 - Part1,tuple_combinations,,60271779.0,10980
Day1 - Part1,tuple_combinations,,60773007.0,11160
Day1 - Part1,tuple_combinations,,64780531.0,11340
Day1 - Part1,tuple_combinations,,65733577.0,11520
Day1 - Part1,tuple_combinations,,65872269.0,11700
Day1 - Part1,tuple_combinations,,63710882.0,11880
Day1 - Part1,tuple_combinations,,65771725.0,12060
Day1 - Part1,tuple_combinations,,65635829.0,12240
Day1 - Part1,tuple_combinations,,68015500.0,12420
Day1 - Part1,tuple_combinations,,68122724.0,12600
Day1 - Part1,tuple_combinations,,69759126.0,12780
Day1 - Part1,tuple_combinations,,70157637.0,12960
Day1 - Part1,tuple_combinations,,69790463.0,13140
Day1 - Part1,tuple_combinations,,74882901.0,13320
Day1 - Part1,tuple_combinations,,77490414.0,13500
Day1 - Part1,tuple_combinations,,75994758.0,13680
Day1 - Part1,tuple_combinations,,74051729.0,13860
Day1 - Part1,tuple_combinations,,78132011.0,14040
Day1 - Part1,tuple_combinations,,79866228.0,14220
Day1 - Part1,tuple_combinations,,80779504.0,14400
Day1 - Part1,tuple_combinations,,79553902.0,14580
Day1 - Part1,tuple_combinations,,82050407.0,14760
Day1 - Part1,tuple_combinations,,82584067.0,14940
Day1 - Part1,tuple_combinations,,81847508.0,15120
Day1 - Part1,tuple_combinations,,86174917.0,15300
Day1 - Part1,tuple_combinations,,84938143.0,15480
Day1 - Part1,tuple_combinations,,85218623.0,15660
Day1 - Part1,tuple_combinations,,87929454.0,15840
Day1 - Part1,tuple_combinations,,86028400.0,16020
Day1 - Part1,tuple_combinations,,90797281.0,16200
Day1 - Part1,tuple_combinations,,93700783.0,16380
Day1 - Part1,tuple_combinations,,93962301.0,16560
Day1 - Part1,tuple_combinations,,91869732.0,16740
Day1 - Part1,tuple_combinations,,90598862.0,16920
Day1 - Part1,tuple_combinations,,94728723.0,17100
Day1 - Part1,tuple_combinations,,94980934.0,17280
Day1 - Part1,tuple_combinations,,98906360.0,17460
Day1 - Part1,tuple_combinations,,95091207.0,17640
Day1 - Part1,tuple_combinations,,98820019.0,17820
Day1 - Part1,tuple_combinations,,97248937.0,18000
