group,function,value,sample_time_nanos,iteration_count
Day1 - Part1,vec_combinations,,1049947.0,2
Day1 - Part1,vec_combinations,,2246040.0,4
Day1 - Part1,vec_combinations,,3562009.0,6
Day1 - Part1,vec_combinations,,4209488.0,8
Day1 - Part1,vec_combinations,,5161260.0,10
Day1 - Part1,vec_combinations,,13538560.0,12
Day1 - Part1,vec_combinations,,8088990.0,14
Day1 - Part1,vec_combinations,,8571487.0,16
Day1 - Part1,vec_combinations,,9095793.0,18
Day1 - Part1,vec_combinations,,10455668.0,20
Day1 - Part1,vec_combinations,,10887076.0,22
Day1 - Part1,vec_combinations,,12158749.0,24
Day1 - Part1,vec_combinations,,13455425.0,26
Day1 - Part1,vec_combinations,,15127176.0,28
Day1 - Part1,vec_combinations,,15317332.0,30
Day1 - Part1,vec_combinations,,16267854.0,32
Day1 - Part1,vec_combinations,,18525152.0,34
Day1 - Part1,vec_combinations,,20269071.0,36
Day1 - Part1,vec_combinations,,19990508.0,38
Day1 - Part1,vec_combinations,,20738767.0,40
Day1 - Part1,vec_combinations,,21174101.0,42
Day1 - Part1,vec_combinations,,22113258.0,44
Day1 - Part1,vec_combinations,,23968658.0,46
Day1 - Part1,vec_combinations,,25730314.0,48
Day1 - Part1,vec_combinations,,26251301.0,50
Day1 - Part1,vec_combinations,,26349802.0,52
Day1 - Part1,vec_combinations,,26967372.0,54
Day1 - Part1,vec_combinations,,29042640.0,56
Day1 - Part1,vec_combinations,,29218909.0,58
Day1 - Part1,vec_combinations,,32257284.0,60
Day1 - Part1,vec_combinations,,34654339.0,62
Day1 - Part1,vec_combinations,,31917044.0,64
Day1 - Part1,vec_combinations,,35816726.0,66
Day1 - Part1,vec_combinations,,37540964.0,68
Day1 - Part1,vec_combinations,,36164869.0,70
Day1 - Part1,vec_combinations,,38596734.0,72
Day1 - Part1,vec_combinations,,37045415.0,74
Day1 - Part1,vec_combinations,,39205488.0,76
Day1 - Part1,vec_combinations,,40161198.0,78
Day1 - Part1,vec_combinations,,40894308.0,80
Day1 - Part1,vec_combinations,,44436690.0,82
Day1 - Part1,vec_combinations,,44823343.0,84
Day1 - Part1,vec_combinations,,45507378.0,86
Day1 - Part1,vec_combinations,,49617857.0,88
Day1 - Part1,vec_combinations,,50034164.0,90
Day1 - Part1,vec_combinations,,52157714.0,92
Day1 - Part1,vec_combinations,,49546823.0,94
Day1 - Part1,vec_combinations,,50229578.0,96
Day1 - Part1,vec_combinations,,51515819.0,98
Day1 - Part1,vec_combinations,,51127084.0,100
Day1 - Part1,vec_combinations,,53673089.0,102
Day1 - Part1,vec_combinations,,55483266.0,104
Day1 - Part1,vec_combinations,,57601274.0,106
Day1 - Part1,vec_combinations,,55156447.0,108
Day1 - Part1,vec_combinations,,56522079.0,110
Day1 - Part1,vec_combinations,,56738543.0,112
Day1 - Part1,vec_combinations,,57624140.0,114
Day1 - Part1,vec_combinations,,58833942.0,116
Day1 - Part1,vec_combinations,,62500433.0,118
Day1 - Part1,vec_combinations,,67311533.0,120
Day1 - Part1,vec_combinations,,63071630.0,122
Day1 - Part1,vec_combinations,,73356618.0,124
Day1 - Part1,vec_combinations,,69787281.0,126
Day1 - Part1,vec_combinations,,67180183.0,128
Day1 - Part1,vec_combinations,,66964971.0,130
Day1 - Part1,vec_combinations,,67451828.0,132
Day1 - Part1,vec_combinations,,70204565.0,134
Day1 - Part1,vec_combinations,,70224754.0,136
Day1 - Part1,vec_combinations,,71554587.0,138
Day1 - Part1,vec_combinations,,70175496.0,140
Day1 - Part1,vec_combinations,,72942173.0,142
Day1 - Part1,vec_combinations,,75024443.0,144
Day1 - Part1,vec_combinations,,114671161.0,146
Day1 - Part1,vec_combinations,,82800299.0,148
Day1 - Part1,vec_combinations,,80219427.0,150
Day1 - Part1,vec_combinations,,77344880.0,152
Day1 - Part1,vec_combinations,,82804374.0,154
Day1 - Part1,vec_combinations,,80237951.0,156
Day1 - Part1,vec_combinations,,80544588.0,158
Day1 - Part1,vec_combinations,,81377310.0,160
Day1 - Part1,vec_combinations,,82953748.0,162
Day1 - Part1,vec_combinations,,83054947.0,164
Day1 - Part1,vec_combinations,,84849731.0,166
Day1 - Part1,vec_combinations,,85557939.0,168
Day1 - Part1,vec_combinations,,91201984.0,170
Day1 - Part1,vec_combinations,,90705350.0,172
Day1 - Part1,vec_combinations,,94932150.0,174
Day1 - Part1,vec_combinations,,88724553.0,176
Day1 - Part1,vec_combinations,,94053827.0,178
Day1 - Part1,vec_combinations,,98655983.0,180
Day1 - Part1,vec_combinations,,122024394.0,182
Day1 - Part1,vec_combinations,,116406428.0,184
Day1 - Part1,vec_combinations,,94417194.0,186
Day1 - Part1,vec_combinations,,99276660.0,188
Day1 - Part1,vec_combinations,,102495255.0,190
Day1 - Part1,vec_combinations,,104339452.0,192
Day1 - Part1,vec_combinations,,104945047.0,194
Day1 - Part1,vec_combinations,,99975658.0,196
Day1 - Part1,vec_combinations,,101640893.0,198
Day1 - Part1,vec_combinations,,109476029.0,200
