group,function,value,sample_time_nanos,iteration_count
Day1 - Part2,(default),,12377623.0,1
Day1 - Part2,(default),,13658187.0,2
Day1 - Part2,(default),,17015608.0,3
Day1 - Part2,(default),,22909667.0,4
Day1 - Part2,(default),,27415515.0,5
Day1 - Part2,(default),,35127662.0,6
Day1 - Part2,(default),,39268606.0,7
Day1 - Part2,(default),,45387771.0,8
Day1 - Part2,(default),,51143987.0,9
Day1 - Part2,(default),,56533074.0,10
Day1 - Part2,(default),,62874968.0,11
Day1 - Part2,(default),,69733628.0,12
Day1 - Part2,(default),,75179740.0,13
Day1 - Part2,(default),,83277631.0,14
Day1 - Part2,(default),,92380680.0,15
Day1 - Part2,(default),,95527048.0,16
Day1 - Part2,(default),,95744909.0,17
Day1 - Part2,(default),,100790842.0,18
Day1 - Part2,(default),,107436507.0,19
Day1 - Part2,(default),,119037055.0,20
Day1 - Part2,(default),,123867545.0,21
Day1 - Part2,(default),,132984902.0,22
Day1 - Part2,(default),,139654840.0,23
Day1 - Part2,(default),,144092492.0,24
Day1 - Part2,(default),,153230975.0,25
Day1 - Part2,(default),,158373640.0,26
Day1 - Part2,(default),,167494325.0,27
Day1 - Part2,(default),,165217480.0,28
Day1 - Part2,(default),,169343770.0,29
Day1 - Part2,(default),,183332821.0,30
Day1 - Part2,(default),,190300755.0,31
Day1 - Part2,(default),,189971036.0,32
Day1 - Part2,(default),,189305543.0,33
Day1 - Part2,(default),,198563683.0,34
Day1 - Part2,(default),,215501268.0,35
Day1 - Part2,(default),,247499599.0,36
Day1 - Part2,(default),,242457889.0,37
Day1 - Part2,(default),,220724659.0,38
Day1 - Part2,(default),,228882553.0,39
Day1 - Part2,(default),,244537989.0,40
Day1 - Part2,(default),,237522080.0,41
Day1 - Part2,(default),,246230510.0,42
Day1 - Part2,(default),,253584857.0,43
Day1 - Part2,(default),,256567832.0,44
Day1 - Part2,(default),,263961422.0,45
Day1 - Part2,(default),,269732762.0,46
Day1 - Part2,(default),,274057438.0,47
Day1 - Part2,(default),,280943605.0,48
Day1 - Part2,(default),,289727543.0,49
Day1 - Part2,(default),,296409003.0,50
Day1 - Part2,(default),,290168649.0,51
Day1 - Part2,(default),,305133036.0,52
Day1 - Part2,(default),,305542462.0,53
Day1 - Part2,(default),,305662195.0,54
Day1 - Part2,(default),,321464342.0,55
Day1 - Part2,(default),,330125374.0,56
Day1 - Part2,(default),,338669104.0,57
Day1 - Part2,(default),,367285934.0,58
Day1 - Part2,(default),,419667998.0,59
Day1 - Part2,(default),,359842891.0,60
Day1 - Part2,(default),,363731227.0,61
Day1 - Part2,(default),,361862686.0,62
Day1 - Part2,(default),,360663377.0,63
Day1 - Part2,(default),,370851894.0,64
Day1 - Part2,(default),,372921686.0,65
Day1 - Part2,(default),,386833603.0,66
Day1 - Part2,(default),,384746106.0,67
Day1 - Part2,(default),,396909588.0,68
Day1 - Part2,(default),,395073920.0,69
Day1 - Part2,(default),,398047753.0,70
Day1 - Part2,(default),,429095894.0,71
Day1 - Part2,(default),,416228455.0,72
Day1 - Part2,(default),,415883279.0,73
Day1 - Part2,(default),,424100882.0,74
Day1 - Part2,(default),,435636502.0,75
Day1 - Part2,(default),,444354465.0,76
Day1 - Part2,(default),,445904974.0,77
Day1 - Part2,(default),,441521291.0,78
Day1 - Part2,(default),,466205315.0,79
Day1 - Part2,(default),,460250526.0,80
Day1 - Part2,(default),,494378905.0,81
Day1 - Part2,(default),,477117116.0,82
Day1 - Part2,(default),,485489040.0,83
Day1 - Part2,(default),,484113875.0,84
Day1 - Part2,(default),,495619094.0,85
Day1 - Part2,(default),,491127322.0,86
Day1 - Part2,(default),,508736685.0,87
Day1 - Part2,(default),,511797685.0,88
Day1 - Part2,(default),,536421008.0,89
Day1 - Part2,(default),,515037911.0,90
Day1 - Part2,(default),,526658759.0,91
Day1 - Part2,(default),,547176776.0,92
Day1 - Part2,(default),,535145780.0,93
Day1 - Part2,(default),,541416089.0,94
Day1 - Part2,(default),,550392270.0,95
Day1 - Part2,(default),,578845562.0,96
Day1 - Part2,(default),,627724619.0,97
Day1 - Part2,(default),,577135389.0,98
Day1 - Part2,(default),,572271544.0,99
Day1 - Part2,(default),,580672139.0,100
