group,function,value,sample_time_nanos,iteration_count
Day2 - Part2,loops,,2286122.0,1
Day2 - Part2,loops,,3653589.0,2
Day2 - Part2,loops,,6332595.0,3
Day2 - Part2,loops,,7259376.0,4
Day2 - Part2,loops,,9408876.0,5
Day2 - Part2,loops,,11257462.0,6
Day2 - Part2,loops,,11514204.0,7
Day2 - Part2,loops,,14082394.0,8
Day2 - Part2,loops,,14656902.0,9
Day2 - Part2,loops,,16272576.0,10
Day2 - Part2,loops,,17779204.0,11
Day2 - Part2,loops,,19870170.0,12
Day2 - Part2,loops,,21306198.0,13
Day2 - Part2,loops,,22076340.0,14
Day2 - Part2,loops,,24045380.0,15
Day2 - Part2,loops,,26351737.0,16
Day2 - Part2,loops,,26953156.0,17
Day2 - Part2,loops,,29487265.0,18
Day2 - Part2,loops,,31060378.0,19
Day2 - Part2,loops,,33179730.0,20
Day2 - Part2,loops,,34431616.0,21
Day2 - Part2,loops,,36275101.0,22
Day2 - Part2,loops,,38613416.0,23
Day2 - Part2,loops,,38938475.0,24
Day2 - Part2,loops,,42552567.0,25
Day2 - Part2,loops,,42331762.0,26
Day2 - Part2,loops,,44887165.0,27
Day2 - Part2,loops,,47667750.0,28
Day2 - Part2,loops,,49627818.0,29
Day2 - Part2,loops,,51874148.0,30
Day2 - Part2,loops,,51773716.0,31
Day2 - Part2,loops,,53625764.0,32
Day2 - Part2,loops,,54017351.0,33
Day2 - Part2,loops,,56607155.0,34
Day2 - Part2,loops,,58293962.0,35
Day2 - Part2,loops,,59843610.0,36
Day2 - Part2,loops,,62138005.0,37
Day2 - Part2,loops,,63502156.0,38
Day2 - Part2,loops,,65396710.0,39
Day2 - Part2,loops,,67128676.0,40
Day2 - Part2,loops,,70292757.0,41
Day2 - Part2,loops,,71361450.0,42
Day2 - Part2,loops,,73578549.0,43
Day2 - Part2,loops,,70761145.0,44
Day2 - Part2,loops,,76088708.0,45
Day2 - Part2,loops,,76960576.0,46
Day2 - Part2,loops,,77346599.0,47
Day2 - Part2,loops,,77945499.0,48
Day2 - Part2,loops,,81792651.0,49
Day2 - Part2,loops,,89587619.0,50
Day2 - Part2,loops,,86018820.0,51
Day2 - Part2,loops,,86311106.0,52
Day2 - Part2,loops,,85652666.0,53
Day2 - Part2,loops,,97744650.0,54
Day2 - Part2,loops,,90304886.0,55
Day2 - Part2,loops,,89249778.0,56
Day2 - Part2,loops,,92323963.0,57
Day2 - Part2,loops,,95955825.0,58
Day2 - Part2,loops,,97848747.0,59
Day2 - Part2,loops,,99564779.0,60
Day2 - Part2,loops,,100503132.0,61
Day2 - Part2,loops,,99102103.0,62
Day2 - Part2,loops,,102245927.0,63
Day2 - Part2,loops,,104333881.0,64
Day2 - Part2,loops,,106668539.0,65
Day2 - Part2,loops,,106923463.0,66
Day2 - Part2,loops,,114240274.0,67
Day2 - Part2,loops,,112404876.0,68
Day2 - Part2,loops,,118351856.0,69
Day2 - Part2,loops,,113297620.0,70
Day2 - Part2,loops,,122197266.0,71
Day2 - Part2,loops,,121308959.0,72
Day2 - Part2,loops,,121709523.0,73
Day2 - Part2,loops,,126885737.0,74
Day2 - Part2,loops,,133447988.0,75
Day2 - Part2,loops,,136797944.0,76
Day2 - Part2,loops,,149175742.0,77
Day2 - Part2,loops,,134690402.0,78
Day2 - Part2,loops,,133974517.0,79
Day2 - Part2,loops,,137333189.0,80
Day2 - Part2,loops,,136194527.0,81
Day2 - Part2,loops,,141732838.0,82
Day2 - Part2,loops,,148199218.0,83
Day2 - Part2,loops,,148879389.0,84
Day2 - Part2,loops,,140869668.0,85
Day2 - Part2,loops,,140288459.0,86
Day2 - Part2,loops,,143082280.0,87
Day2 - Part2,loops,,143501256.0,88
Day2 - Part2,loops,,145837861.0,89
Day2 - Part2,loops,,147380242.0,90
Day2 - Part2,loops,,155350479.0,91
Day2 - Part2,loops,,148700772.0,92
Day2 - Part2,loops,,150813191.0,93
Day2 - Part2,loops,,158003533.0,94
Day2 - Part2,loops,,154189928.0,95
Day2 - Part2,loops,,160012683.0,96
Day2 - Part2,loops,,158935825.0,97
Day2 - Part2,loops,,166875966.0,98
Day2 - Part2,loops,,161439791.0,99
Day2 - Part2,loops,,164380976.0,100
