group,function,value,sample_time_nanos,iteration_count
Day3 - Part1,(default),,1544579.0,2
Day3 - Part1,(default),,3475725.0,4
Day3 - Part1,(default),,4271377.0,6
Day3 - Part1,(default),,6024809.0,8
Day3 - Part1,(default),,12709327.0,10
Day3 - Part1,(default),,9386753.0,12
Day3 - Part1,(default),,10154751.0,14
Day3 - Part1,(default),,11609860.0,16
Day3 - Part1,(default),,12908025.0,18
Day3 - Part1,(default),,14381762.0,20
Day3 - Part1,(default),,15787072.0,22
Day3 - Part1,(default),,17797291.0,24
Day3 - Part1,(default),,18470307.0,26
Day3 - Part1,(default),,25039445.0,28
Day3 - Part1,(default),,21910708.0,30
Day3 - Part1,(default),,23074151.0,32
Day3 - Part1,(default),,25102679.0,34
Day3 - Part1,(default),,26313058.0,36
Day3 - Part1,(default),,28130894.0,38
Day3 - Part1,(default),,29457649.0,40
Day3 - Part1,(default),,30523672.0,42
Day3 - Part1,(default),,32341459.0,44
Day3 - Part1,(default),,33879179.0,46
Day3 - Part1,(default),,34474200.0,48
Day3 - Part1,(default),,37079882.0,50
Day3 - Part1,(default),,38112290.0,52
Day3 - Part1,(default),,38593081.0,54
Day3 - Part1,(default),,39513314.0,56
Day3 - Part1,(default),,42748503.0,58
Day3 - Part1,(default),,47441079.0,60
Day3 - Part1,(default),,45200700.0,62
Day3 - Part1,(default),,46449619.0,64
Day3 - Part1,(default),,49036720.0,66
Day3 - Part1,(default),,49322987.0,68
Day3 - Part1,(default),,51638615.0,70
Day3 - Part1,(default),,52407835.0,72
Day3 - Part1,(default),,55304009.0,74
Day3 - Part1,(default),,55383968.0,76
Day3 - Part1,(default),,62020907.0,78
Day3 - Part1,(default),,57881657.0,80
Day3 - Part1,(default),,60910136.0,82
Day3 - Part1,(default),,61705932.0,84
Day3 - Part1,(default),,62620621.0,86
Day3 - Part1,(default),,64938356.0,88
Day3 - Part1,(default),,65366555.0,90
Day3 - Part1,(default),,66906657.0,92
Day3 - Part1,(default),,68535455.0,94
Day3 - Part1,(default),,74062335.0,96
Day3 - Part1,(default),,72536506.0,98
Day3 - Part1,(default),,72352542.0,100
Day3 - Part1,(default),,75156767.0,102
Day3 - Part1,(default),,79989128.0,104
Day3 - Part1,(default),,76765786.0,106
Day3 - Part1,(default),,83648202.0,108
Day3 - Part1,(default),,80569043.0,110
Day3 - Part1,(default),,83043730.0,112
Day3 - Part1,(default),,85079887.0,114
Day3 - Part1,(default),,87665972.0,116
Day3 - Part1,(default),,87064226.0,118
Day3 - Part1,(default),,90480668.0,120
Day3 - Part1,(default),,90118699.0,122
Day3 - Part1,(default),,91333931.0,124
Day3 - Part1,(default),,92306714.0,126
Day3 - Part1,(default),,92447179.0,128
Day3 - Part1,(default),,96006561.0,130
Day3 - Part1,(default),,94538743.0,132
Day3 - Part1,(default),,97146444.0,134
Day3 - Part1,(default),,98393699.0,136
Day3 - Part1,(default),,100244041.0,138
Day3 - Part1,(default),,102500942.0,140
Day3 - Part1,(default),,107102616.0,142
Day3 - Part1,(default),,111776694.0,144
Day3 - Part1,(default),,111948375.0,146
Day3 - Part1,(default),,108064937.0,148
Day3 - Part1,(default),,110887196.0,150
Day3 - Part1,(default),,112434732.0,152
Day3 - Part1,(default),,111960478.0,154
Day3 - Part1,(default),,116208455.0,156
Day3 - Part1,(default),,117496685.0,158
Day3 - Part1,(default),,122268625.0,160
Day3 - Part1,(default),,123764528.0,162
Day3 - Part1,(default),,120179379.0,164
Day3 - Part1,(default),,121050537.0,166
Day3 - Part1,(default),,120583881.0,168
Day3 - Part1,(default),,122837007.0,170
Day3 - Part1,(default),,126038975.0,172
Day3 - Part1,(default),,125123844.0,174
Day3 - Part1,(default),,128296110.0,176
Day3 - Part1,(default),,130392855.0,178
Day3 - Part1,(default),,131561188.0,180
Day3 - Part1,(default),,133911924.0,182
Day3 - Part1,(default),,135521079.0,184
Day3 - Part1,(default),,132680652.0,186
Day3 - Part1,(default),,139485750.0,188
Day3 - Part1,(default),,136178600.0,190
Day3 - Part1,(default),,142177210.0,192
Day3 - Part1,(default),,141846796.0,194
Day3 - Part1,(default),,142355047.0,196
Day3 - Part1,(default),,145638189.0,198
Day3 - Part1,(default),,143603132.0,200
